,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
873,2021-01-12,156.64,156.87,153.96,154.45,143.26,4385653,4385653,-2.19,-1.4,155.48,"January 12, 21",-0.014
874,2021-01-11,156.1,158.13,154.92,156.11,144.8,5148685,5148685,0.01,0.00640615,156.315,"January 11, 21",6.40615e-05
875,2021-01-08,157.23,157.53,154.54,156.64,145.29,6252391,6252391,-0.59,-0.37525,156.485,"January 08, 21",-0.0037525
876,2021-01-07,152.33,156.42,152.26,155.7,144.42,8482308,8482308,3.37,2.21,154.1775,"January 07, 21",0.0221
877,2021-01-06,151.53,153.87,149.47,151.19,140.24,7174615,7174615,-0.34,-0.22438,151.515,"January 06, 21",-0.0022438
878,2021-01-05,148.65,152.7,148.5,152.43,141.39,8507227,8507227,3.78,2.54,150.57,"January 05, 21",0.0254
879,2021-01-04,153.01,155.15,147.14,148.5,137.74,9826976,9826976,-4.51,-2.95,150.95,"January 04, 21",-0.0295
880,2020-12-31,150.32,152.56,150.1,152.34,141.31,4941702,4941702,2.02,1.34,151.33,"December 31, 20",0.0134
881,2020-12-30,149.12,151.61,148.92,149.95,139.09,3965615,3965615,0.83,0.5566,149.9,"December 30, 20",0.005566
882,2020-12-29,148.97,148.99,147.03,148.49,137.73,3543794,3543794,-0.48,-0.32221,148.37,"December 29, 20",-0.0032221
883,2020-12-28,150.62,151.07,147.44,147.74,137.04,4576625,4576625,-2.88,-1.91,149.2175,"December 28, 20",-0.0191
884,2020-12-24,147.8,148.9,147.2,148.79,138.01,2120165,2120165,0.99,0.66982,148.1725,"December 24, 20",0.0066982
885,2020-12-23,147.63,151.54,146.87,146.96,136.32,5186736,5186736,-0.67,-0.45384,148.25,"December 23, 20",-0.0045384
886,2020-12-22,146.61,147.03,144.72,146.34,135.74,5753843,5753843,-0.2712,-0.18416,146.175,"December 22, 20",-0.0018416
887,2020-12-21,145.01,147.36,144.41,146.8,136.17,7024570,7024570,1.8,1.23,145.895,"December 21, 20",0.0123
888,2020-12-18,150.79,150.79,146.12,147.42,136.74,13288322,13288322,-3.37,-2.23,148.78,"December 18, 20",-0.0223
889,2020-12-17,150.87,151.23,148.38,149.53,138.7,7039049,7039049,-1.34,-0.88818,150.0025,"December 17, 20",-0.0088818
890,2020-12-16,149.14,150.44,146.71,149.74,138.89,6610887,6610887,0.6,0.40231,149.0075,"December 16, 20",0.0040231
891,2020-12-15,149.37,149.92,147.1,148.36,137.61,6619794,6619794,-1.01,-0.67617,148.6875,"December 15, 20",-0.0067617
892,2020-12-14,144.9,147.75,143.33,146.29,135.69,12258492,12258492,1.39,0.95928,145.5675,"December 14, 20",0.0095928
893,2020-12-11,149.24,150.27,141.89,144.28,133.83,25923148,25923148,-4.96,-3.32,146.42,"December 11, 20",-0.0332
894,2020-12-10,154.42,157.85,152.73,155.75,144.47,7522238,7522238,1.33,0.86129,155.1875,"December 10, 20",0.0086129
895,2020-12-09,158.6,161.07,155.55,156.02,144.72,7947152,7947152,-2.58,-1.63,157.81,"December 09, 20",-0.0163
896,2020-12-08,157.46,159.29,155.87,158.8,147.3,6088312,6088312,1.34,0.85101,157.855,"December 08, 20",0.0085101
897,2020-12-07,158.55,158.97,156.71,158.02,146.57,7009334,7009334,-0.53,-0.33428,158.0625,"December 07, 20",-0.0033428
898,2020-12-04,150.3,158.09,150.0,157.62,146.2,12759949,12759949,7.32,4.87,154.0025,"December 04, 20",0.0487
899,2020-12-03,151.04,152.77,149.64,149.91,139.05,6355269,6355269,-1.13,-0.74815,150.84,"December 03, 20",-0.0074815
900,2020-12-02,150.51,151.49,149.62,149.98,139.12,7800326,7800326,-0.53,-0.35214,150.4,"December 02, 20",-0.0035214
901,2020-12-01,148.79,152.39,147.79,151.26,139.7,11910501,11910501,2.47,1.66,150.0575,"December 01, 20",0.0166
902,2020-11-30,144.63,147.29,144.05,147.17,135.92,8712502,8712502,2.54,1.76,145.785,"November 30, 20",0.0176
903,2020-11-27,145.49,146.43,143.7,143.83,132.84,3878048,3878048,-1.66,-1.14,144.8625,"November 27, 20",-0.0114
904,2020-11-25,145.95,147.49,144.04,144.08,133.07,6398910,6398910,-1.87,-1.28,145.39,"November 25, 20",-0.0128
905,2020-11-24,143.39,146.33,141.11,145.93,134.78,10807321,10807321,2.54,1.77,144.19,"November 24, 20",0.0177
906,2020-11-23,142.35,147.0,141.88,143.82,132.83,11654921,11654921,1.47,1.03,143.7625,"November 23, 20",0.0103
907,2020-11-20,148.28,149.1,145.94,146.03,134.87,5555858,5555858,-2.25,-1.52,147.3375,"November 20, 20",-0.0152
908,2020-11-19,146.56,149.3,145.46,147.53,136.26,7743707,7743707,0.9687,0.66184,147.2125,"November 19, 20",0.0066184
909,2020-11-18,149.24,153.33,146.91,147.05,135.81,12124506,12124506,-2.19,-1.47,149.1325,"November 18, 20",-0.0147
910,2020-11-17,149.02,149.85,147.18,148.74,137.37,7438646,7438646,-0.28,-0.18789,148.6975,"November 17, 20",-0.0018789
911,2020-11-16,145.2,149.25,144.55,149.07,137.68,7598487,7598487,3.87,2.67,147.0175,"November 16, 20",0.0267
912,2020-11-13,145.54,146.25,143.23,144.26,133.24,5902150,5902150,-1.28,-0.87948,144.82,"November 13, 20",-0.0087948
913,2020-11-12,147.57,148.51,143.07,143.91,132.91,8585640,8585640,-3.66,-2.48,145.765,"November 12, 20",-0.0248
914,2020-11-11,144.5,148.09,144.0,147.69,136.4,10222700,10222700,3.19,2.21,146.07,"November 11, 20",0.0221
